fund_name,Predicted strategy,strategy evidence,source meta data
Federated MDT Small Cap Growth Fund,Equity Long Only (Low Risk),"Federated MDT Small Cap Growth Fund

<head_breaker>

Fund Summary Information

Federated MDT Small Cap Growth Fund (the “Fund”)

RISK/RETURN SUMMARY: INVESTMENT OBJECTIVE

The Fund's investment objective is to provide long-term capital appreciation.

RISK/RETURN SUMMARY: FEES AND EXPENSES",{'source': 'MutualFundSummary/Federated MDT Small Cap Growth Fund.txt'}
Fidelity Advisor Communications Equipment Fund,Equity Long Only (Low Risk),"Fidelity Advisor Communications Equipment Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Advisor® Communications Equipment Fund/A, M, C, I

Investment Objective

The fund seeks capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund. In addition to the fees and expenses described below, your broker may also require you to pay brokerage commissions on purchases and sales of certain share classes of the fund.",{'source': 'MutualFundSummary/Fidelity Advisor Communications Equipment Fund.txt'}
Fidelity Advisor Consumer Discretionary Fund,Equity Long Only (Low Risk),"Fidelity Advisor Consumer Discretionary Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Advisor® Consumer Discretionary Fund/A, M, C, I

Investment Objective

The fund seeks capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund. In addition to the fees and expenses described below, your broker may also require you to pay brokerage commissions on purchases and sales of certain share classes of the fund.",{'source': 'MutualFundSummary/Fidelity Advisor Consumer Discretionary Fund.txt'}
Fidelity Advisor Energy Fund,Equity Long Only (Low Risk),"Fidelity Advisor Energy Fund

<head_breaker>

Fund Summary

Fund/Class: Fidelity Advisor® Energy Fund/A, M, C, I

Investment Objective

The fund seeks capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund. In addition to the fees and expenses described below, your broker may also require you to pay brokerage commissions on purchases and sales of certain share classes of the fund.",{'source': 'MutualFundSummary/Fidelity Advisor Energy Fund.txt'}
Fidelity Advisor Financial Services Fund,Equity Long Only (Low Risk),"Fidelity Advisor Financial Services Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Advisor® Financial Services Fund/A, M, C, I

Investment Objective

The fund seeks capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund. In addition to the fees and expenses described below, your broker may also require you to pay brokerage commissions on purchases and sales of certain share classes of the fund.",{'source': 'MutualFundSummary/Fidelity Advisor Financial Services Fund.txt'}
Fidelity Advisor Freedom 2005 Fund,Balanced Fund (Low Risk),"Fidelity Advisor Freedom 2005 Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Freedom® 2005 Fund/Fidelity Freedom® 2005 Fund

Investment Objective

The fund seeks high total return until its target retirement date. Thereafter the fund's objective will be to seek high current income and, as a secondary objective, capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund.

Shareholder fees

(fees paid directly from your investment) 	None Annual Operating Expenses

(expenses that you pay each year as a % of the value of your investment)

Management fee(a) 	 	0.48% Distribution and/or Service (12b-1) fees 	 	None Other expenses(a) 	 	0.01% Total annual operating expenses(a),(b) 	 	0.49% (a)   Adjusted to reflect current fees.",{'source': 'MutualFundSummary/Fidelity Advisor Freedom 2005 Fund.txt'}
Fidelity Advisor Freedom 2010 Fund,Balanced Fund (Low Risk),"Fidelity Advisor Freedom 2010 Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Freedom® 2010 Fund/Fidelity Freedom® 2010 Fund

Investment Objective

The fund seeks high total return until its target retirement date. Thereafter the fund's objective will be to seek high current income and, as a secondary objective, capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund.

Shareholder fees

(fees paid directly from your investment) 	None Annual Operating Expenses

(expenses that you pay each year as a % of the value of your investment)

Management fee(a) 	 	0.53% Distribution and/or Service (12b-1) fees 	 	None Other expenses(a) 	 	0.00% Total annual operating expenses(a) 	 	0.53% (a)   Adjusted to reflect current fees.

This example helps compare the cost of investing in the fund with the cost of investing in other funds.",{'source': 'MutualFundSummary/Fidelity Advisor Freedom 2010 Fund.txt'}
Fidelity Advisor Freedom 2015 Fund,Balanced Fund (Low Risk),"Fidelity Advisor Freedom 2015 Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Freedom® 2015 Fund/Fidelity Freedom® 2015 Fund

Investment Objective

The fund seeks high total return until its target retirement date. Thereafter the fund's objective will be to seek high current income and, as a secondary objective, capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund.

Shareholder fees

(fees paid directly from your investment) 	None Annual Operating Expenses

(expenses that you pay each year as a % of the value of your investment)

Management fee(a) 	 	0.57% Distribution and/or Service (12b-1) fees 	 	None Other expenses(a) 	 	0.00% Total annual operating expenses(a) 	 	0.57% (a)   Adjusted to reflect current fees.

This example helps compare the cost of investing in the fund with the cost of investing in other funds.",{'source': 'MutualFundSummary/Fidelity Advisor Freedom 2015 Fund.txt'}
Fidelity Advisor Freedom 2020 Fund,Balanced Fund (Low Risk),"Fidelity Advisor Freedom 2020 Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Freedom® 2020 Fund/Fidelity Freedom® 2020 Fund

Investment Objective

The fund seeks high total return until its target retirement date. Thereafter the fund's objective will be to seek high current income and, as a secondary objective, capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund.

Shareholder fees

(fees paid directly from your investment) 	None Annual Operating Expenses

(expenses that you pay each year as a % of the value of your investment)

Management fee(a) 	 	0.61% Distribution and/or Service (12b-1) fees 	 	None Other expenses(a) 	 	0.00% Total annual operating expenses(a) 	 	0.61% (a)   Adjusted to reflect current fees.

This example helps compare the cost of investing in the fund with the cost of investing in other funds.",{'source': 'MutualFundSummary/Fidelity Advisor Freedom 2020 Fund.txt'}
Fidelity Advisor Freedom 2025 Fund,Balanced Fund (Low Risk),"Fidelity Advisor Freedom 2025 Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Freedom® 2025 Fund/Fidelity Freedom® 2025 Fund

Investment Objective

The fund seeks high total return until its target retirement date. Thereafter the fund's objective will be to seek high current income and, as a secondary objective, capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund.

Shareholder fees

(fees paid directly from your investment) 	None Annual Operating Expenses

(expenses that you pay each year as a % of the value of your investment)

Management fee(a) 	 	0.65% Distribution and/or Service (12b-1) fees 	 	None Other expenses(a) 	 	0.01% Total annual operating expenses(a),(b) 	 	0.66% (a)   Adjusted to reflect current fees.",{'source': 'MutualFundSummary/Fidelity Advisor Freedom 2025 Fund.txt'}
Fidelity Advisor Freedom 2030 Fund,Balanced Fund (Low Risk),"Fidelity Advisor Freedom 2030 Fund <head_breaker>

Fund Summary

Fund/Class: Fidelity Freedom® 2030 Fund/Fidelity Freedom® 2030 Fund

Investment Objective

The fund seeks high total return until its target retirement date. Thereafter the fund's objective will be to seek high current income and, as a secondary objective, capital appreciation.

Fee Table

The following table describes the fees and expenses that may be incurred when you buy and hold shares of the fund.

Shareholder fees

(fees paid directly from your investment) 	None Annual Operating Expenses

(expenses that you pay each year as a % of the value of your investment)

Management fee(a) 	 	0.70% Distribution and/or Service (12b-1) fees 	 	None Other expenses(a) 	 	0.00% Total annual operating expenses(a) 	 	0.70% (a)   Adjusted to reflect current fees.

This example helps compare the cost of investing in the fund with the cost of investing in other funds.",{'source': 'MutualFundSummary/Fidelity Advisor Freedom 2030 Fund.txt'}
